ステータス,カテゴリ,製品・サービス名,推定価格,極限活用法・その価値,記事化日
,デジタル・ガジェット,ケーブルスリーブ,1000円,複数本のケーブルを1本にまとめる。見た目のノイズを減らし、掃除のしやすさを劇的に向上させる。,
,デジタル・ガジェット,MOFT (貼付型スタンド),3000円,ノートPCやスマホに「見えないスタンド」を追加。視線を上げ、姿勢を改善する世界最薄のエルゴノミクスツール。,
,デジタル・ガジェット,電動エアダスター,5000円,缶スプレーのコストから解放される。PC内部の掃除、キーボードの隙間、サッシの掃除など、強力な風でホコリを飛ばす。,
,デジタル・ガジェット,CR2032電池 (まとめ買い),100円/個,車のキー、マザーボード、小型ライトなど意外と使うボタン電池。コンビニで買う1/5の価格で常備し、急な電池切れに対応。,
,デジタル・ガジェット,CPUグリス (高性能),1000円,数年前のPCのCPU温度を数度下げる。ファンの回転数を落として静音化し、パフォーマンスを安定させるメンテナンス投資。,
,デジタル・ガジェット,Webカメラカバー,500円,物理的にカメラを塞ぐ。ハッキング対策だけでなく、Zoom会議での「意図しない顔出し事故」を100%防ぐ安心感を買う。,
,文房具・デスク環境,A4コピー用紙 (500枚),500円,「1枚1テーマ」で躊躇なく書き殴り、スキャンして捨てる。思考のブレーキを外すための「無限キャンバス」。,
,文房具・デスク環境,情報カード (5x3サイズ),300円,1枚1アイデアで記録し、物理的に並べ替えて構成を練る。論文や企画書の構成速度を爆上げするアナログデータベース。,
,文房具・デスク環境,ダブルクリップ (Binder Clips),10円/個,ケーブルオーガナイザー、簡易スマホスタンド、マネークリップ。挟む力と形状を利用した万能ハック素材。,
,文房具・デスク環境,ホワイトボードシート,2000円,デスクや壁をホワイトボード化。計算用紙を探す時間をゼロにし、思考の「外部メモリ」として機能させる。,
,文房具・デスク環境,フリクションボールペン (替芯),数百円,「消せる」安心感でアイデア出しの心理的ブレーキを外す。書き損じを恐れず思考を加速させる。,
,文房具・デスク環境,ポストイット (強粘着・大判),500円,タスクやアイデアを書き出し、壁や机で物理的に並べ替えて構造化する。デジタルのマインドマップより直感的。,
,文房具・デスク環境,ラミネーター,3000円,子供の作品保存だけでなく、オリジナルの「チェックリスト」を自作し、風呂やキッチンなど濡れる場所に情報を掲示する。,
,文房具・デスク環境,テプラ/ラベルライター,5000円〜,「モノの住所」を確定させ、探し物をゼロにする。スイッチ類の誤操作防止やケーブル識別にも必須。,
,文房具・デスク環境,A3カッターマット,1000円,デスクに常設し机を保護。マウスパッド代わりになり、グリッド印刷で物のサイズ計測が瞬時に可能。,
,文房具・デスク環境,ブックスタンド (書見台),1500円,本を開いたまま固定し両手をフリーにする。PC入力時の参照、料理中のレシピ本固定で生産性を上げる。,
,文房具・デスク環境,ペーパーナイフ,500円,郵便物の開封時間を短縮し、中身を切る事故も防ぐ。地味だが一生分の「開封ストレス」を減らす。,
,文房具・デスク環境,ソフトリングノート,500円,リングが手に当たっても痛くない。折り返して狭い場所で書ける利便性と書き心地を両立。,
,文房具・デスク環境,万年筆 (プレピー等),400円〜,数百円でインクの濃淡や書き味を体験。筆圧不要で長時間筆記でも疲れにくい。,
,文房具・デスク環境,無印良品 パスポートケース,2000円,家計管理ツールとして活用。リフィルで現金を袋分けし、通帳やカードも一括管理する「持ち運べる金庫」。,
,文房具・デスク環境,ドキュメントファイル (蛇腹),1000円,取説、保証書、領収書を放り込むだけで分類完了。「とりあえずここ」の場所を作り書類紛失を防ぐ。,
,文房具・デスク環境,3M コマンドタブ,数百円,壁を傷つけずにフックやポスターを固定。賃貸でも壁面収納を可能にし空間利用効率を上げる。,
,文房具・デスク環境,ノック式マッキー,150円,キャップを外す手間をゼロに。現場作業や梱包時の「キャップ紛失」問題を解決する。,
,文房具・デスク環境,オムニグリッド定規,1500円,透明で背景が見え、グリッド入りで直角や平行線を誰でも正確に引ける。工作やデザインの下書き精度がプロ級に。,
,文房具・デスク環境,デスクマット (超大型),2000円,机の大部分を覆い、どこでもマウスが使えるようにする。筆記時の安定感向上や、デスクの冷たさ緩和にも。,
,文房具・デスク環境,針なしホッチキス,600円,消耗品（針）が不要。シュレッダーにかける際に針を外す手間も不要になり、書類廃棄のサイクルを高速化する。,
,文房具・デスク環境,セラミックカッター,500円,刃先が触れても怪我しにくい安全設計。雑誌の切り抜きやパッケージ開封を安全かつ迅速に行う。,
,文房具・デスク環境,日付印 (データ印),3000円,ノートやメモに日付をスタンプ。「いつ書いたか」を統一フォーマットで記録し、検索性を高める。,
,文房具・デスク環境,キューブタイマー,1500円,倒すだけでタイマーセット完了。ポモドーロ・テクニックを物理的に導入し、集中と休憩のリズムを作る。,
,文房具・デスク環境,クリップボード (ハードタイプ),500円,ソファやベッド、屋外など「机のない場所」をデスクに変える。立ったままメモを取る機動力を得る。,
,文房具・デスク環境,修正テープ (幅広・クリーム色),300円,ノートの色に合わせたテープで修正跡を目立たなくする。些細なノイズを消し、見返したくなるノートを作る。,
,文房具・デスク環境,卓上クリーナー (電池式),1500円,消しゴムのカスやパン屑を掃除するミニ掃除機。デスクを常に清潔に保ち、作業開始のハードルを下げる。,
,文房具・デスク環境,ペン立て (斜め挿しタイプ),1000円,使いたいペンが一目で分かり、取り出しやすい。文具を探すコンマ数秒のロスを積み重ねない。,
,生活・家事・DIY,過炭酸ナトリウム,500円/kg,オキシクリーンの主成分。洗濯槽、ふきん漂白、排水溝掃除まで、これ一つで専用洗剤を5種類リストラする。,
,生活・家事・DIY,マイクロファイバークロス,50円/枚,吸水性が段違いな掃除道具。風呂の拭き上げ、結露取り、油汚れ拭きに使い、最後は汚い場所を拭いて捨てる。,
,生活・家事・DIY,ハッカ油,800円,虫除け、清涼入浴剤、鼻詰まり解消、ゴミ箱の消臭。数滴で効果を発揮する天然の万能薬。,
,生活・家事・DIY,ワセリン (白色),500円,高純度な保湿剤。高級クリームの代用、革製品メンテ、擦り傷保護、着火剤として使える。,
,生活・家事・DIY,クエン酸,400円,電気ケトルのカルキ取り、トイレのアンモニア臭消し。アルカリ性の汚れを中和する特効薬。,
,生活・家事・DIY,重曹 (食品グレード),400円,研磨剤、消臭剤、焦げ落とし、さらに料理（肉を柔らかくする）にも使える安全な化学物質。,
,生活・家事・DIY,結束バンド (インシュロック),100円〜,配線整理、壊れた取っ手の補修、即席スマホリング、棚固定。切れば外せる「半永久」結合ツール。,
,生活・家事・DIY,両刃カミソリ,3000円〜,替刃1枚40円で理髪店レベルの切れ味。5枚刃の高価な替刃から脱却し、ランニングコストを1/10にする。,
,生活・家事・DIY,ニトリル手袋 (メカニックグローブ),1000円/箱,掃除、料理、整備、毛染めで手を汚さない。手荒れを完全に防ぎ、医療費とハンドクリーム代を節約。,
,生活・家事・DIY,ネオジム磁石,100円,ティッシュ箱を机裏に貼る、リモコンを浮かす、換気扇フィルター固定。空間を3次元活用するためのパーツ。,
,生活・家事・DIY,養生テープ,300円,手で切れ、糊残りしない。梱包、ケーブル固定、台風の窓補強、ラベル代わりとガムテープの上位互換として使う。,
,生活・家事・DIY,IKEA 青バッグ (FRAKTA),100円,コインランドリー、ゴミ出し、薪入れ、防水シート。耐久性と防水性が異常に高く、ラフに扱える最強キャリー。,
,生活・家事・DIY,ヒートガン,2500円,シール剥がし、塗装乾燥、プラスチック白化修復、熱収縮チューブ加工。ドライヤーでは不可能な温度で物を加工・修理する。,
,生活・家事・DIY,UVレジン液,100円〜,ケーブル被膜補修、プラスチック欠け補修。UVライトで数秒で硬化する「魔法のパテ」として修理に使う。,
,生活・家事・DIY,はんだごてセット,2000円,マウスのスイッチ交換、断線修理。数百円の部品交換で数万円の製品を蘇らせる。,
,生活・家事・DIY,ダンボールストッカー,3000円,通販ダンボールを「浮かせて」保管。まとめる時のストレスをゼロにし、玄関を清潔に保つ。,
,生活・家事・DIY,メラミンスポンジ,100円,洗剤不要で茶渋、水垢、ソール汚れを研磨して落とす。小さく切って使い捨てにするのが正解。,
,生活・家事・DIY,セスキ炭酸ソーダ,数百円,重曹より油汚れに強く水に溶けやすい。キッチンの油ハネや襟汚れをスプレーして拭くだけで分解。,
,生活・家事・DIY,シリコンスプレー,300円,滑りの悪い引き出し、カーテンレール、ファスナーを一瞬で復活させる。家具の寿命を延ばす潤滑剤。,
,生活・家事・DIY,KURE 5-56,400円,サビ落とし、潤滑の王様。自転車メンテからシール剥がし跡の除去、クレヨンの落書き消しまで。,
,生活・家事・DIY,グルーガン (ホットボンド),1000円,接着だけでなく、滑り止め作成、詰め物、立体装飾など、簡易的な「3D造形補修」を行う。,
,生活・家事・DIY,デジタルノギス,1500円,「なんとなく」の計測をやめる。ネジ径や隙間を0.1mm単位で測り、DIYや部品注文の失敗をゼロにする。,
,生活・家事・DIY,マイクロファイバーモップ (着脱式),2000円,水拭きと乾拭きを使い分け、洗って何度も使えるためシート代が不要になる。,
,生活・家事・DIY,珪藻土バスマット,2000円,洗濯不要で常に乾いている。「バスマットを洗って干す」家事そのものを消滅させる。,
,生活・家事・DIY,ステンレスソープ,600円,魚や玉ねぎの臭いをイオン反応で消す金属石鹸。洗剤で落ちない臭いをリセットする。,
,生活・家事・DIY,ウタマロ石鹸,150円,泥汚れ、エリ・ソデ汚れに対する最強の固形石鹸。高価な洗剤で落ちない汚れもこれで予洗いすれば落ちる。,
,生活・家事・DIY,魔法のテープ (ゲル両面テープ),1000円,洗って再利用可能な強力両面テープ。電源タップの壁固定、カーペットズレ防止など物理的に「モノを浮かせる」。,
,生活・家事・DIY,精密ドライバーセット,1500円,メガネのネジ締め、電池交換、PCメモリ増設。自分で直せる範囲を広げ修理代を抑える。,
,生活・家事・DIY,六角レンチセット (ボールポイント付),1500円,IKEA家具などの組み立て効率が向上。斜めからでも回せるボールポイント付きで作業時間を半減。,
,生活・家事・DIY,電動ドライバー (小型),3000円,家具の組み立て解体が「遊び」に変わる。手回しの10倍の速度と正確さで作業が可能。,
,生活・家事・DIY,センサーライト (電池/充電式),1500円,クローゼットや廊下に設置。スイッチを押す手間をなくし、夜間の安全性と利便性を上げる。,
,生活・家事・DIY,ドアストッパー (マグネット/重り),1000円,換気や荷物の搬入時にドアを固定。地味だが毎日の「ドアが閉まるイライラ」を解消。,
,生活・家事・DIY,家具用フェルトパッド,100円,椅子の足に貼るだけで床の傷防止と静音化。掃除の際に家具を滑らせて移動できるようになる。,
,生活・家事・DIY,ブチルテープ (防水補修),1000円,雨漏りやホースの水漏れを強力に止める。屋外でも使えるプロ仕様の補修テープ。,
,生活・家事・DIY,ワイヤーストリッパー,1500円,電子工作やDIYで配線の被覆を一瞬で剥く。ハサミやカッターには戻れない効率を手に入れる。,
,生活・家事・DIY,スプレーボトル (工業用・キャニオン等),800円,100均とは違う霧の細かさと耐久性。掃除用洗剤や水やりの効率を変える。,
,生活・家事・DIY,折りたたみバケツ,1000円,使わない時は薄く畳んで隙間に収納。つけ置き洗いや洗車、防災用として場所を取らずに常備。,
,生活・家事・DIY,換気扇フィルター (貼るだけ),500円,換気扇の掃除という「最も面倒な家事」を予防する。汚れたら剥がして捨てるだけ。,
,生活・家事・DIY,網戸補修シール,500円,網戸の破れを全面張り替えずに部分補修。夏場の虫の侵入を安価に即座に防ぐ。,
,キッチン・食品,エアロプレス,5000円,ドリップからエスプレッソ風まで、抽出変数が無限にあるコーヒー抽出器具。数千円で好みの味を科学的に追求できる。,
,キッチン・食品,鉄フライパン (スキレット),2000円〜,テフロンのように寿命がない。手入れすれば一生使え、熱伝導率の高さで安い肉も美味しく焼ける。,
,キッチン・食品,キッチンバサミ (分解洗浄式),2000円,包丁を使わず、まな板も汚さず、肉や野菜を鍋の上で直接切る。洗い物を極限まで減らす。,
,キッチン・食品,サラダスピナー,1500円,野菜の水分を飛ばすだけでドレッシングの絡みが変わり、サラダの味がプロ級になる。,
,キッチン・食品,低温調理器,8000円〜,安い鶏胸肉や豚肉を高級レストラン並みの柔らかさに変える錬金術デバイス。放置で完成するため手間もなし。,
,キッチン・食品,シリコンバッグ (スタッシャー等),1500円,保存容器であり調理器具。レンジ、湯煎、冷凍すべて対応。洗って使い回せるためラップ不要。,
,キッチン・食品,ソーダストリーム,10000円〜,ペットボトルゴミをゼロにする。秒で炭酸水が作れ、ハイボールや洗顔にも使い放題。,
,キッチン・食品,コーヒーミル,2000円〜,「粉」ではなく「豆」で買うことで香りの劣化を防ぎ、一杯あたりの単価を下げつつ満足度を上げる。,
,キッチン・食品,ヨーグルトメーカー,3000円,牛乳パックに種菌を入れて放置するだけでヨーグルトを量産。高級ヨーグルトを安価に毎日摂取できる。,
,キッチン・食品,真空断熱タンブラー,1500円,氷が朝まで溶けない。結露もしない。飲み頃温度を維持し、デスクワーク中の「ぬるくなるストレス」を消す。,
,キッチン・食品,キャベツピーラー (幅広),1000円,とんかつ屋の千切りキャベツを瞬時に大量生産。包丁技術不要で野菜摂取量が激増する。,
,キッチン・食品,ぶんぶんチョッパー,1000円,玉ねぎのみじん切りを8秒で完了。涙も出ない。ハンバーグやドライカレーのハードルを極限まで下げる。,
,キッチン・食品,ホールスパイス (クミン等),300円,「ルウ」や「ドレッシング」を買わず、塩とスパイスだけで素材をご馳走にする。自炊の幅が広がる。,
,キッチン・食品,オートミール,500円,米の代わりに主食にする。調理時間2分。食物繊維豊富で安価、保存も効く最強の時短健康食。,
,キッチン・食品,冷凍野菜 (ブロッコリー等),300円,「洗う・切る・茹でる」工程を金で買う。栄養価は旬の状態で冷凍されているため高く、廃棄ロスもない。,
,キッチン・食品,プロテイン (3kg等),6000円,「サプリ」ではなく「保存食兼朝食」として。1食あたりのタンパク質単価が肉より安く、準備時間ゼロ。,
,キッチン・食品,シリコンヘラ (一体型),1000円,カレーやソースを鍋肌から完全にこそげ取る。洗い物が楽になり、食材を1グラムも無駄にしない。,
,キッチン・食品,缶切り (安全・歯車式),1500円,切り口が鋭利にならず、蓋として再利用できる開け方をする。缶詰の安全性を高める。,
,キッチン・食品,マイクロプレイン (ゼスター),3000円,チーズ、生姜、ニンニク、柑橘の皮を「ふわふわ」におろす。薬味の香りを劇的に引き立てるプロ用おろし金。,
,キッチン・食品,水切りラック (折りたたみ),2000円,使わない時はくるくる巻いて収納。狭いキッチンの作業スペースを確保する。,
,キッチン・食品,オイルポット (活性炭付),3000円,揚げ油をろ過して再利用。油を捨てる手間とコストを減らし、揚げ物の心理的ハードルを下げる。,
,キッチン・食品,弁当箱 (ミールプレップ用),500円〜,冷凍対応の仕切り付き容器。週末にまとめて作り置きし、平日の昼食代と時間を節約する。,
,健康・美容・ファッション,フォームローラー,1500円,自重で筋膜リリース。マッサージに通う費用を節約し、日々のコンディションを自分で整える。,
,健康・美容・ファッション,ヨガマット,1500円,運動用だけでなく、昼寝用、家具組立時の床保護、防音材としても優秀な敷物。,
,健康・美容・ファッション,フロス (Y字/糸),500円,「歯ブラシだけでは汚れの6割しか落ちない」。将来のインプラント代を数百円で予防する投資。,
,健康・美容・ファッション,舌ブラシ,600円,口臭の原因の多くは舌苔。朝一回の使用でエチケットレベルを一段階上げる。,
,健康・美容・ファッション,5本指ソックス,400円,足指の蒸れを解消し水虫予防。踏ん張りが効き、立ち仕事の疲労を軽減する。,
,健康・美容・ファッション,グランズレメディ (靴消臭粉),2000円,靴の中に粉を撒くだけで悪臭を完全に消す。洗えない革靴やブーツの救世主。,
,健康・美容・ファッション,シルクナイトキャップ,2000円,就寝中の摩擦を防ぎ、翌朝の髪のツヤを守る。高いトリートメントより効果的な物理防御。,
,健康・美容・ファッション,着圧ソックス,2000円,履いて寝るだけで翌朝の足のむくみをリセット。立ち仕事やデスクワークの疲労回復ツール。,
,健康・美容・ファッション,鼻腔拡張テープ,500円,物理的に鼻の穴を広げ睡眠時の呼吸を楽にする。いびき防止や睡眠の質向上に。,
,健康・美容・ファッション,めぐりズム 蒸気でホットアイマスク,1000円,強制的に視覚情報を遮断し目を温める。15分で脳のスイッチを強制オフにする休息ツール。,
,健康・美容・ファッション,洋服ブラシ (馬毛/豚毛),3000円,スーツやコートの繊維の奥のホコリを落とし、毛並みを整える。クリーニング回数を減らし服の寿命を延ばす。,
,健康・美容・ファッション,靴磨きセット,2000円,安い革靴でも手入れ次第で高級に見える。「足元を見る」相手に対するコスパ最高のプレゼン。,
,健康・美容・ファッション,湯たんぽ,1500円,布団の中を電気代ゼロで温め続ける。乾燥せず、朝まで優しい暖かさが続く古くて新しい暖房。,
,健康・美容・ファッション,インソール (衝撃吸収),1500円,スニーカーや革靴に入れ、歩行時の疲労を軽減。安物の靴を疲れにくい靴にアップグレードする。,
,健康・美容・ファッション,バランスボール,1500円,椅子の代わりに座り、体幹を鍛える。腰痛予防やリフレッシュに使える家具兼運動器具。,
,健康・美容・ファッション,鼻うがいキット,1000円,花粉やウイルスを物理的に洗い流す。風邪予防とアレルギー対策の最終兵器。,
,健康・美容・ファッション,サバイバルシート (アルミ),100円,防災用だけでなく、冬場の窓に貼って最強の断熱材にする。光熱費を物理的に削減。,
,健康・美容・ファッション,耳栓 (MOLDEX等),50円/ペア,高性能な遮音性で「静寂」を作り出す。集中したい時や、騒音環境下での安眠確保に。,
,健康・美容・ファッション,セームタオル,1000円,絞れば何度でも吸水力が復活するタオル。水泳用だが、銭湯や旅行での荷物を極限まで減らせる。,
,ソフトウェア・ハック,Amazonプライム会員,月額600円,配送特典に加え、Video、Music、Reading、Photo(無制限)を使い倒せば生活インフラとして異常なコスパ。,
,ソフトウェア・ハック,YouTube Premium,月額1280円,「広告を見る時間」を人生から排除。バックグラウンド再生で動画を「聴く読書」に変え学習効率を最大化。,
,ソフトウェア・ハック,DeepL (無料版),0円,英語サイトを丸ごと翻訳し情報収集範囲を世界に広げる。メールの下書き添削にも使い語学力を補完する。,
,ソフトウェア・ハック,Notion,0円,タスク、メモ、家計簿、読書記録を統合。自分だけの「人生のOS」を構築するデータベース。,
,ソフトウェア・ハック,Googleレンズ,0円,植物の名前、商品価格比較、外国語メニュー翻訳、手書き文字テキスト化。カメラを「検索窓」にする。,
,ソフトウェア・ハック,図書館の利用カード,0円,ベストセラー予約、専門書リクエスト、高額な新聞・雑誌データベースの無料利用。住民税を取り戻す最強サブスク。,
,ソフトウェア・ハック,メルカリ (出品),0円,不用品を売るだけでなく「リセールバリュー」を意識した買い物を学ぶ。実質的な所有コストを下げる思考を得る。,
,ソフトウェア・ハック,ChatGPT Plus (GPT-4),月額3000円,「思考の壁打ち」「コーディング」「翻訳」「校正」。24時間働く優秀な秘書を雇うコストとして破格。,
,ソフトウェア・ハック,Obsidian,0円,ローカル保存のマークダウンメモ。リンク機能で知識をネットワーク化し、「第二の脳」を育てる。,
,ソフトウェア・ハック,Bitwarden,0円,パスワード管理の手間とリスクをゼロにする。すべてのサイトで異なる複雑なパスワードを自動入力。,
,ソフトウェア・ハック,Canva (無料版),0円,デザイン知識がなくてもプロ並みのスライドや画像が作れる。プレゼン資料作成の時間を大幅短縮。,
,ソフトウェア・ハック,AutoHotKey (Windows),0円,キーボード操作をスクリプトで自動化。定型文入力やアプリ起動をワンタッチにする。,
,ソフトウェア・ハック,iOSショートカット,0円,iPhoneの複数操作をワンタップで実行。ホーム画面に「特定のプレイリスト再生して帰宅ルート検索」ボタンを作る等。,
,ソフトウェア・ハック,IFTTT / Zapier,0円〜,異なるWebサービス同士を連携。「雨予報ならLINE通知」「インスタ投稿をDropboxに保存」などを自動化。,
,ソフトウェア・ハック,Google Keep,0円,起動が最速のメモアプリ。画像内の文字認識(OCR)が優秀で、書類を撮影してテキストデータ化するのに最適。,
,ソフトウェア・ハック,Discord,0円,コミュニティ参加だけでなく、自分専用サーバーを作り「メモ帳」「画像置き場」「RSSリーダー」として活用。,
,ソフトウェア・ハック,Trello,0円,「カンバン方式」でタスクを見える化。仕事の進捗管理や、旅行の計画、欲しいものリストの管理に。,
,ソフトウェア・ハック,Kindle Unlimited,月額980円,雑誌や実用書を多読する。「買うか迷う時間」をなくし、必要な情報だけをつまみ食いする情報収集ハック。,
,ソフトウェア・ハック,dマガジン/楽天マガジン,月額400円〜,数百誌の雑誌が読み放題。トレンド把握や情報収集のコストパフォーマンスが異常に高い。,
,ソフトウェア・ハック,Voicy / Podcast,0円,「耳のスキマ時間」を学習に変える。通勤や家事の時間をインプットの時間として有効活用。,
,ソフトウェア・ハック,Udemy (セール時),1500円〜,専門スキルを体系的に学ぶ。セール時に買えば書籍一冊分の値段で動画講義を受けられる。,
,ソフトウェア・ハック,GitHub,0円,コード管理だけでなく、ブログ運営、ドキュメント管理、自分の作業ログの保存先として活用。,
,ソフトウェア・ハック,青空文庫,0円,著作権切れの名作文学が読み放題。教養を深めるための無料の巨大ライブラリ。,
,ソフトウェア・ハック,100均の老眼鏡 (拡大鏡),100円,視力が良くても「拡大鏡」として使用。精密作業やトゲ抜き時に、手元を大きく映し出すハック。,
,その他・ハック,ジッパー付き保存袋 (IKEA/Ziploc),数百円,食品保存だけでなく、旅行の荷分け、濡れた衣類の持ち帰り、小物の整理。透明で中身が見える最強ポーチ。,
,その他・ハック,S字フック,100円,空間を収納に変える。クローゼット、キッチン、バッグハンガー。引っ掛ける場所さえあれば収納を作り出せる。,
,その他・ハック,ブックエンド,100円,本を立てるだけでなく、冷凍庫内の仕切り、引き出し内の衣類整理、棚の整理として活用。,
,その他・ハック,突っ張り棒,100円〜,デッドスペースに棚を作る、カフェカーテンを吊るす、引き出し内の仕切り。壁を傷つけず収納を増やす基本パーツ。,
,その他・ハック,結束バンド (リピートタイプ),100円,再利用可能な結束バンド。ケーブル整理に加え、キーホルダー、簡易ロックなど何度でもやり直せる。,
,その他・ハック,カラビナ,100円〜,バッグに鍵を吊るす、キャンプでのギア固定、ベビーカーフック。頻繁に着脱するものを定位置に固定する。,
,その他・ハック,養生用プラダン,500円,窓の断熱（二重窓化）、簡易的な棚の背板、引き出しの仕切り。カッターで加工できる軽量で丈夫な板。,
,その他・ハック,SIMピン (キーホルダー型),300円,スマホのSIM交換だけでなく、リセットボタン押し、細かい隙間の掃除などに使える常時携帯ツール。,
,その他・ハック,折りたたみ傘 (超軽量),3000円,「天気予報を気にする時間」と「ビニール傘を買う金」を節約。常にカバンに入れっぱなしにできる軽さを選ぶ。,
,その他・ハック,靴べら (携帯用),1000円,革靴のかかとを潰さず履くことで靴の寿命を延ばす。出先でのスマートな振る舞いをサポート。,
,その他・ハック,圧縮袋 (衣類用),100円〜,旅行時の衣類のかさを半分にする。出張や旅行の荷物を小型化し、機内持ち込みサイズに収める。,
